"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Africa Eastern and Southern","AFE","2019","85.627",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Africa Eastern and Southern","AFE","2010","77.158",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Africa Eastern and Southern","AFE","2000","68.049",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Africa Western and Central","AFW","2019","77.241",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Africa Western and Central","AFW","2010","68.369",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Africa Western and Central","AFW","2000","66.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Africa Western and Central","AFW","1990","59.569",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Arab World","ARB","2010","81.127",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Arab World","ARB","2000","64.293",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Arab World","ARB","1990","52.466",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Caribbean small states","CSS","2010","93.486",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Caribbean small states","CSS","2000","86.807",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Early-demographic dividend","EAR","2019","87.316",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Early-demographic dividend","EAR","2000","62.603",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific","EAS","2019","97.470",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific","EAS","2010","93.648",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific","EAS","2000","86.563",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific","EAS","1990","70.886",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific (excluding high income)","EAP","2019","97.470",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific (excluding high income)","EAP","2010","93.601",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific (excluding high income)","EAP","2000","86.563",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific (excluding high income)","EAP","1990","70.652",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific (IDA & IBRD)","TEA","2019","97.441",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific (IDA & IBRD)","TEA","2010","93.530",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific (IDA & IBRD)","TEA","2000","86.410",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","East Asia & Pacific (IDA & IBRD)","TEA","1990","70.652",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Europe & Central Asia (excluding high income)","ECA","2010","95.380",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Europe & Central Asia (excluding high income)","ECA","2000","81.452",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Fragile and conflict affected situations","FCS","2019","75.537",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Fragile and conflict affected situations","FCS","2010","66.633",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Fragile and conflict affected situations","FCS","2000","59.622",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Heavily indebted poor countries (HIPC)","HPC","2019","84.370",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Heavily indebted poor countries (HIPC)","HPC","2010","76.849",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Heavily indebted poor countries (HIPC)","HPC","2000","65.115",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IBRD only","IBD","2019","91.822",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IBRD only","IBD","2000","75.059",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA & IBRD total","IBT","2019","87.566",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA & IBRD total","IBT","2010","81.267",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA & IBRD total","IBT","2000","69.153",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA blend","IDB","2019","80.673",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA blend","IDB","2010","62.175",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA blend","IDB","2000","59.345",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA blend","IDB","1990","47.148",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA only","IDX","2019","83.507",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA only","IDX","2010","73.626",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA only","IDX","2000","59.415",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA total","IDA","2019","82.508",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA total","IDA","2010","69.415",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","IDA total","IDA","2000","59.391",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Late-demographic dividend","LTE","2019","98.540",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Late-demographic dividend","LTE","2010","94.519",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Late-demographic dividend","LTE","2000","88.353",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Latin America & Caribbean","LCN","2010","96.406",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Latin America & Caribbean (excluding high income)","LAC","2010","96.422",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Latin America & Caribbean (IDA & IBRD)","TLA","2010","96.356",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Least developed countries: UN classification","LDC","2019","82.242",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Least developed countries: UN classification","LDC","2010","71.646",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Least developed countries: UN classification","LDC","2000","56.726",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Low & middle income","LMY","2019","87.660",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Low & middle income","LMY","2010","81.368",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Low & middle income","LMY","2000","69.186",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Low income","LIC","2019","80.870",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Low income","LIC","2010","72.279",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Low income","LIC","2000","58.806",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Lower middle income","LMC","2019","85.135",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Lower middle income","LMC","2000","62.339",""
